"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","home page headers test","chromium","2026-08-31","skipped","2026-08-31","","homepage.spec.ts","",""
"","5020","@regression basic product details test with iMac","chromium","2026-08-31","passed","2026-08-31","","search.spec.ts","",""
"","3015","@regression log in with invalid credentials -- JSON data-driven with wrong@open.com, wrong@123","chromium","2026-08-31","passed","2026-08-31","","loginpage-fixture.spec.ts","",""
"","811","@regression delete a user test","chromium","2026-08-31","passed","2026-08-31","","api/users-api.spec.ts","",""
"","770","@regression get user test","chromium","2026-08-31","failed","2026-08-31","","api/users-api.spec.ts","",""
"","1327","@smoke Get a single user and validate the schema","chromium","2026-08-31","failed","2026-08-31","","api/schema-validation.spec.ts","",""
"","740","@regression POST API -- create a new users","chromium","2026-08-31","failed","2026-08-31","","api/users-api-separate.spec.ts","",""
"","5085","@regression verify product images count","chromium","2026-08-31","passed","2026-08-31","","productpage.spec.ts","",""
"","2338","@regression forgot password link test","chromium","2026-08-31","passed","2026-08-31","","loginpage-fixture.spec.ts","",""
"","260","@regression mock search data API","chromium","2026-08-31","passed","2026-08-31","","api/intercept.spec.ts","",""
"","2813","@regression log in with invalid credentials -- data-driven with , password1234","chromium","2026-08-31","passed","2026-08-31","","loginpage-fixture.spec.ts","",""
"","4930","@regression basic product details test with MacBook Pro","chromium","2026-08-31","passed","2026-08-31","","search.spec.ts","",""
"","2248","@smoke login page title test","chromium","2026-08-31","passed","2026-08-31","","loginpage-fixture.spec.ts","",""
"","3678","@regression product search results test with MacBook Pro","chromium","2026-08-31","passed","2026-08-31","","search.spec.ts","",""
"","0","forgot password link test","chromium","2026-08-31","skipped","2026-08-31","","loginpage.spec.ts","",""
"","3389","@regression home page headers test","chromium","2026-08-31","passed","2026-08-31","","homepage-fixture.spec.ts","",""
"","753","@regression create a new user test","chromium","2026-08-31","failed","2026-08-31","","api/users-api.spec.ts","",""
"","741","@regression PUT API -- update a user","chromium","2026-08-31","failed","2026-08-31","","api/users-api-separate.spec.ts","",""
"","5117","@smoke verify footers on product page","chromium","2026-08-31","passed","2026-08-31","","productpage.spec.ts","",""
"","0","valid login test","chromium","2026-08-31","skipped","2026-08-31","","loginpage.spec.ts","",""
"","3230","@smoke intercept and log requests","chromium","2026-08-31","passed","2026-08-31","","api/intercept.spec.ts","",""
"","3654","@smoke home page title test","chromium","2026-08-31","passed","2026-08-31","","homepage-fixture.spec.ts","",""
"","2906","@regression log in with invalid credentials -- data-driven with invaliduser@email.com, mypassword","chromium","2026-08-31","passed","2026-08-31","","loginpage-fixture.spec.ts","",""
"","3028","@regression log in with invalid credentials -- JSON data-driven with invalid@open.com,","chromium","2026-08-31","passed","2026-08-31","","loginpage-fixture.spec.ts","",""
"","5124","@regression basic product details test with MacBook Air","chromium","2026-08-31","passed","2026-08-31","","search.spec.ts","",""
"","2942","@regression log in with invalid credentials -- JSON data-driven with pwbatchtest@open.com, wrong@123","chromium","2026-08-31","passed","2026-08-31","","loginpage-fixture.spec.ts","",""
"","0","verify logout link test","chromium","2026-08-31","skipped","2026-08-31","","homepage.spec.ts","",""
"","758","@smoke GET API -- get all users","chromium","2026-08-31","failed","2026-08-31","","api/users-api-separate.spec.ts","",""
"","1","login page title test","chromium","2026-08-31","skipped","2026-08-31","","loginpage.spec.ts","",""
"","1349","@smoke Get all users and validate the schema","chromium","2026-08-31","failed","2026-08-31","","api/schema-validation.spec.ts","",""
"","3630","@regression product search results test with MacBook Air","chromium","2026-08-31","passed","2026-08-31","","search.spec.ts","",""
"","734","@regression DELETE API -- delete a user","chromium","2026-08-31","failed","2026-08-31","","api/users-api-separate.spec.ts","",""
"","4545","@smoke verify logo on product page","chromium","2026-08-31","passed","2026-08-31","","productpage.spec.ts","",""
"","772","@regression update a user test","chromium","2026-08-31","failed","2026-08-31","","api/users-api.spec.ts","",""
"","5128","@regression verify product data -- MacBook Air","chromium","2026-08-31","passed","2026-08-31","","productpage.spec.ts","",""
"","3205","@smoke verify logout link test","chromium","2026-08-31","passed","2026-08-31","","homepage-fixture.spec.ts","",""
"","3933","@smoke valid login test","chromium","2026-08-31","passed","2026-08-31","","loginpage-fixture.spec.ts","",""
"","3871","@regression log in with invalid credentials -- data-driven with fixtures","chromium","2026-08-31","passed","2026-08-31","","loginpage-fixture.spec.ts","",""
"","2940","@regression log in with invalid credentials -- data-driven with randomuser@opencart.com,","chromium","2026-08-31","passed","2026-08-31","","loginpage-fixture.spec.ts","",""
"","0","home page title test","chromium","2026-08-31","skipped","2026-08-31","","homepage.spec.ts","",""
"","413","@regression GET invoices","chromium","2026-08-31","passed","2026-08-31","","api/paypal-oauth2.spec.ts","",""
"","3618","@regression product search results test with iMac","chromium","2026-08-31","passed","2026-08-31","","search.spec.ts","",""
