"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","392","@regression delete a user test","chromium","2026-08-31","passed","2026-08-31","","api/users-api.spec.ts","",""
"","2191","@regression log in with invalid credentials -- JSON data-driven with invalid@open.com,","chromium","2026-08-31","passed","2026-08-31","","loginpage-fixture.spec.ts","",""
"","2687","@smoke verify logout link test","chromium","2026-08-31","passed","2026-08-31","","homepage-fixture.spec.ts","",""
"","2557","@regression home page headers test","chromium","2026-08-31","passed","2026-08-31","","homepage-fixture.spec.ts","",""
"","405","@regression update a user test","chromium","2026-08-31","passed","2026-08-31","","api/users-api.spec.ts","",""
"","3144","@regression log in with invalid credentials -- data-driven with fixtures","chromium","2026-08-31","passed","2026-08-31","","loginpage-fixture.spec.ts","",""
"","3856","@smoke verify logo on product page","chromium","2026-08-31","passed","2026-08-31","","productpage.spec.ts","",""
"","2283","@regression log in with invalid credentials -- data-driven with randomuser@opencart.com,","chromium","2026-08-31","passed","2026-08-31","","loginpage-fixture.spec.ts","",""
"","2765","@regression product search results test with MacBook Air","chromium","2026-08-31","passed","2026-08-31","","search.spec.ts","",""
"","2760","@regression product search results test with MacBook Pro","chromium","2026-08-31","passed","2026-08-31","","search.spec.ts","",""
"","0","forgot password link test","chromium","2026-08-31","skipped","2026-08-31","","loginpage.spec.ts","",""
"","2925","@regression product search results test with iMac","chromium","2026-08-31","passed","2026-08-31","","search.spec.ts","",""
"","2486","@smoke intercept and log requests","chromium","2026-08-31","passed","2026-08-31","","api/intercept.spec.ts","",""
"","741","@regression POST API -- create a new users","chromium","2026-08-31","passed","2026-08-31","","api/users-api-separate.spec.ts","",""
"","2433","@regression log in with invalid credentials -- JSON data-driven with pwbatchtest@open.com, wrong@123","chromium","2026-08-31","passed","2026-08-31","","loginpage-fixture.spec.ts","",""
"","393","@smoke GET API -- get all users","chromium","2026-08-31","passed","2026-08-31","","api/users-api-separate.spec.ts","",""
"","1","login page title test","chromium","2026-08-31","skipped","2026-08-31","","loginpage.spec.ts","",""
"","4322","@regression verify product images count","chromium","2026-08-31","passed","2026-08-31","","productpage.spec.ts","",""
"","3157","@smoke valid login test","chromium","2026-08-31","passed","2026-08-31","","loginpage-fixture.spec.ts","",""
"","4085","@regression verify product data -- MacBook Air","chromium","2026-08-31","passed","2026-08-31","","productpage.spec.ts","",""
"","2062","@regression log in with invalid credentials -- data-driven with invaliduser@email.com, mypassword","chromium","2026-08-31","passed","2026-08-31","","loginpage-fixture.spec.ts","",""
"","2332","@regression log in with invalid credentials -- JSON data-driven with wrong@open.com, wrong@123","chromium","2026-08-31","passed","2026-08-31","","loginpage-fixture.spec.ts","",""
"","3752","@smoke verify footers on product page","chromium","2026-08-31","passed","2026-08-31","","productpage.spec.ts","",""
"","4344","@regression basic product details test with iMac","chromium","2026-08-31","passed","2026-08-31","","search.spec.ts","",""
"","432","@regression create a new user test","chromium","2026-08-31","passed","2026-08-31","","api/users-api.spec.ts","",""
"","1","home page title test","chromium","2026-08-31","skipped","2026-08-31","","homepage.spec.ts","",""
"","3573","@regression basic product details test with MacBook Air","chromium","2026-08-31","passed","2026-08-31","","search.spec.ts","",""
"","1513","@smoke Get all users and validate the schema","chromium","2026-08-31","passed","2026-08-31","","api/schema-validation.spec.ts","",""
"","2421","@smoke Get a single user and validate the schema","chromium","2026-08-31","passed","2026-08-31","","api/schema-validation.spec.ts","",""
"","1","verify logout link test","chromium","2026-08-31","skipped","2026-08-31","","homepage.spec.ts","",""
"","293","@regression mock search data API","chromium","2026-08-31","passed","2026-08-31","","api/intercept.spec.ts","",""
"","1475","@regression DELETE API -- delete a user","chromium","2026-08-31","passed","2026-08-31","","api/users-api-separate.spec.ts","",""
"","2262","@regression log in with invalid credentials -- data-driven with , password1234","chromium","2026-08-31","passed","2026-08-31","","loginpage-fixture.spec.ts","",""
"","412","@regression get user test","chromium","2026-08-31","passed","2026-08-31","","api/users-api.spec.ts","",""
"","3840","@regression basic product details test with MacBook Pro","chromium","2026-08-31","passed","2026-08-31","","search.spec.ts","",""
"","594","@regression GET invoices","chromium","2026-08-31","passed","2026-08-31","","api/paypal-oauth2.spec.ts","",""
"","1894","@regression forgot password link test","chromium","2026-08-31","passed","2026-08-31","","loginpage-fixture.spec.ts","",""
"","2598","@smoke home page title test","chromium","2026-08-31","passed","2026-08-31","","homepage-fixture.spec.ts","",""
"","1781","@smoke login page title test","chromium","2026-08-31","passed","2026-08-31","","loginpage-fixture.spec.ts","",""
"","0","valid login test","chromium","2026-08-31","skipped","2026-08-31","","loginpage.spec.ts","",""
"","0","home page headers test","chromium","2026-08-31","skipped","2026-08-31","","homepage.spec.ts","",""
"","1426","@regression PUT API -- update a user","chromium","2026-08-31","passed","2026-08-31","","api/users-api-separate.spec.ts","",""
